Russian,Kubachin
жителей Зирихгерана оставалось ремесло,В XII веке н.э арабский
"ножей, кинжалов и разной медной посуды",У них нет ни пашен
"ножей, кинжалов и разной медной посуды",ни
Для Кубачи было характерно язычество – зороастризм,Затем
в Кубачи проникли поочередно иудаизм и христианство,Это
"набеги Тохтамыша, Тимура и т.д",Но наиболее опасным для
пришлось принять ислам в XIV веке,По преданию
пришлось принять ислам в XIV веке,в одном из
похоронили ночью,На этом месте утром посеяли редиску
похоронили ночью,чтобы
"враги не догадались, какой урон нанесли кубачинцам",С тех пор
деятельности кубачинцев,Кубачи в XVIII веке ярко описал
обитателей Кавказа,Все
обитателей Кавказа,даже самые дикие народы Кавказа
обитателей Кавказа,
относятся к этому племени с особым уважением,Кавказские
излишки имущества или свои сокровища,Кубачинцы вежливы
излишки имущества или свои сокровища,
"спокойны, трудолюбивы",Они очень ловкие и зажиточные люди
"спокойны, трудолюбивы",
знающие персидский язык,Большая часть их занята торговлей
"пистолеты, сабли, ножи, панцири",Их злато- и среброкузнечная
работа очень похожа на работы Аусбурга и Карлсбада,Так как
изделия всюду находят спрос и дорогую оценку,Такими же
входили в Кайтагское уцмийство,В 1725 году уцмий Кайтага
шах вторгся в Дагестан,Героическая оборона Кубачи
шах вторгся в Дагестан,в которой
одним из ярких эпизодов борьбы с иноземным захватчиком,По
сосудов на неприятеля,У каждого мучала сельчане выставили
горящие факелы,Противник
горящие факелы,приняв медные сосуды за пушки
горящие факелы,
участия не принимали,В XIX – начале XX века
участия не принимали,как и в старые
Бронзовое литье,Уже в средние века за пределы Дагестана
"поставлялись котлы, отлитые в Кубачи",Техника художественного
сегодня поражает многих специалистов,Эти котлы отличались
пропорциональностью форм и богатым узором,Некоторые
Альберта в Лондоне и других музеях,Для котлов изготавливались
медные крышки с изящной чеканкой,Отметим
медные крышки с изящной чеканкой,что сюжеты
Медночеканное искусство,Арабский историк Аль-Гарнати
которая используется в быту только кубачинцами,Кубачинские
женщинами в походах к роднику за водой,Сосуды «нукънус»
женщинами в походах к роднику за водой,
Резьба по дереву,Кубачинцы с давних времен были хорошими
"столбы, двери, ставни жилых домов",Среди резных деревянных
изделий есть и шедевры,Двери соборной мечети селения
геральдических львов и птиц,Эти двери были сняты с кубачинской
в нижнем квартале старой части пос,Кубачи Она была
изготовлена в в XV в,и не раз ремонтировалась в XVIII–XIX вв
которые сочетаются с растительным узором,Орнамент и фон
"золотистый, синий",На отдельных деталях представлен узор
линейно-геометрического характера,Верхние участки дверей
Резьба по камню,В XIV – XV веках в селении сложилась
своеобразная и самобытная каменная архитектура,Здесь
"свой, «кубачинский стиль» орнаментальной резьбы",Из камня
"борьбы животных, обрядовые сцены",Изображения часто
имеют фоном растительный орнамент,Образы
имеют фоном растительный орнамент,изображенные
"Каллиграфия, искусство орнамента",В средние века в
Кубачи распространяется арабская каллиграфия,Афоризмы
Кубачи распространяется арабская каллиграфия,
с растительным орнаментом,Эпиграфический орнамент –
Золотошвейное дело,Кубачинки издавна известны как
златокузнецов,Мастерство вышивания описано в книге Манабы
струны чунгура в ожидании её или под окнами её дома,Желая
любимой шапку,Если она не вылетала из окна
любимой шапку,то это означало
любимой шапку,
ткани или маркизета,В XVII-XIX веках в вышивке применялась
дорогую золотую нить,В XIX веке начали использовать
тамбурный шов,При помощи круглых пялец
тамбурный шов,похожих на
Плетение кольчуг,За пределами Дагестана кубачинцы
высококлассного оружия и доспехов,Средневековые арабские
авторы называли их кольчугоделателями,Еще в X веке об этом
писал историк аль-Масуди в книге «Россыпи золота»,В XII
бронники,Они изготавливают всякое воинское снаряжение –
всевозможные изделия из меди,Жены
всевозможные изделия из меди,сыновья
всевозможные изделия из меди,дочери
всевозможные изделия из меди,слуги и
"в Дагестане, датируются III-IV веками н.э",Кубачинские кольчуги
"состояли из 18-20 тысяч колец, и имели вес около 5-6 кг",Их
наследству,Расцвета изготовление кольчуг в Кубачи достигло в
"защищавшей аул от нападений, прекратилось совсем",С тех пор
до начала XX века,В начале XXI века несколько молодых
Оружейное искусство,В раннем средневековье селение
которого находили широкий спрос,В XVIII – XIX веках искусство
достигает высокого уровня,Выполненные в традиционной
"(Санкт-Петербург), Государственном Эрмитаже и т",д
больших количествах,Последние под названием «кавказские
с жителями соседнего селения Амузги,Амузгинцы издавна
изготавливали и украшали рукоять и ножны,Точно так же в
стволы для пистолетов и ружей,Кубачинцы делали серебряные
"оно и сейчас, уходя в дома олигархов и глав государств",В конце XX
Средневековья,Основы ювелирного искусства передаются
украшением кубачинского изделия,Гравировщики всегда были
рисовать орнаменты и владеть штихелем,Существует несколько
орнаментом черного цвета по гравированному узору,Чернь
серу,Черневую мазь наносят на глубоко гравированный узор и
узора,Затем изделие обрабатывают напильником
узора,наждачной
бумагой и полируют,Черневой узор остается в единой плоскости
гравированного фона и придания ей точечной фактуры,При
Насечка золотом по железу,Гравированный рисунок
золотой вставки была шире верхней,Затем золотую проволоку
золотой вставки была шире верхней,
гравированного рисунка,Золотая насечка хорошо смотрится
драгоценным металлом,Из-за хрупкости кости невозможно
выглядит как золотая вязь на белом поле,Насечка по кости обычно
при создании женских украшений,В конце XIX – начала XX
изготовляемых изделий,В технике филиграни делают женские
Эмаль известна с эпохи раннего Средневековья,Узор
"закрепляясь, как и чернь, плавлением",Эмаль бывает прозрачная и
"глухая, белая и цветная",Кубачинские мастера начали использовать
ячеек на серебряной поверхности,Разные эмали при плавке не
перемешиваются,Выемчатая эмаль похожа на роспись цветными
красками,Перегородчатая эмаль Филигранную сплетенную в
перегородки для цвета,Получается более яркий и объемный
а эмали придает большую насыщенность цветов,Кубачинцы
Аствацатурян Э,Г Оружие народов Кавказа – СПб
Аствацатурян Э,2004.
Бакланов Н,Б Златкузнецы Дагестана – М.
Бакланов Н,1926.
Брюзгина О,И Ювелирное искусство Кубачи – М.
Брюзгина О,2006.
Гусейнов Абдулхалик,Кубачи и кубачинцы – Махачкала
Гусейнов Абдулхалик,2000.
Декоративное искусство Дагестана / Автор - составитель Д,А
Чирков,– М.
Чирков,1971.
Ибрагимова Ж,К.
Ибрагимова Ж,Ниналалов С А Кубачи – Махачкала
Ибрагимова Ж,2019.
Изабакаров Г,Б Основы кубачинского искусства – Махачкала
Изабакаров Г,
Искусство Кубачи / Автор-составитель А,А Иванов – Л.
Искусство Кубачи / Автор-составитель А,1976.
Кильчевская Э,В Декоративное искусство аула Кубачи – М.
Кильчевская Э,
Кубачи: история и искусство / Составители Исрапилов С,И.
Кубачи: история и искусство / Составители Исрапилов С,
Ниналалов С,А – Махачкала
Ниналалов С,2003.
Магомедов Гаджи-Бахмуд,Ювелирное искусство Каталог
выставки / Составитель В,М Шамадаева – М.
выставки / Составитель В,1990.
Магомедов А,Дж «Город» златокузнецов – Махачкала
Магомедов А,1998.
Магомедова Манаба,Резец златокузнеца – Махачкала
Магомедова Манаба,1976.
Маммаев М,М Декоративно-прикладное искусство Дагестана
Истоки и становление,– Махачкала
Истоки и становление,1989.
Ниналалов С,А Каталог современных изделий кубачинских
мастеров,– Махачкала
мастеров,1998.
Шиллинг Е,М Кубачинцы и их культура Историко-
этнографические очерки,– М.-Л.
этнографические очерки,1949
(Сост,А.Дж Магомедов)
Абакарова Ф.О,Кубачинский фольклор: этнолокальные
особенности,Махачкала
особенности,1996
Абакарова Ф.О,Русско-кубачинский разговорник Махачкала
Абакарова Ф.О,
Алиханов Р.А,Кубачинские очерки: Записки мастера//
Искусство Кубачи,Л.
Искусство Кубачи,1976.
"Алексеев М.Е., Перехвальская Е.А",Кубачинцы и кубачинский
Зарубежья: статус и функции,М.
Зарубежья: статус и функции,2000.
Ахмедов М.А,Песни и частушки: Сборник авторских песен/
На даргинском и кубачинском языках,Махачкала
На даргинском и кубачинском языках,2006.
Ахмедов М.А,Биение сердца: Сборник песен/ На русском
Ахмедов М.А,
кубачинском и даргинском языках,Махачкала
кубачинском и даргинском языках,2008.
Ахмедов М.А,Со всеми наравне: Сборник песен/ На русском и
даргинском языках,Махачкала
даргинском языках,2008
Багамаева М.С,Сулевкентский говор даргинского языка/
диссертация на соиск,уч ст канд филол наук Махачкала
диссертация на соиск,2015.
Гусейнов А.Г,Кубачи и кубачинцы Махачкала
Гусейнов А.Г,2000.
Даргинские народные песни /сост,З Магомедов
Даргинские народные песни /сост,Ф Алиева/
На дарг,и куб яз Махачкала 1970
Жирков Л.И,Язык аула Кубачи// Ученые записки института
этнических и национальных культур народов Востока,Т.1 М.
этнических и национальных культур народов Востока,
Ибрагимов Магомед (Хьяжемикъалла МухумIяд),Хъайдещла
муда,– Махачкала
муда,2017.
Изабакаров Г.Б,Основы кубачинского искусства Махачкала
Изабакаров Г.Б,
и комментарии / общая редакция Г.М.-Р,Оразаева; сост Д.М
Исаев,Махачкала: МавраевЪ
Исаев,2012 С 160-182
Магомедов А.Дж,Кубачинская речь: самостоятельный
Черкеской республике,Черкесск
Черкеской республике,9-10 октября 2015 г Черкесск
Черкеской республике,
Магомедов А.Дж,Названия женских украшений
Магомедов А.Дж,драгоценных
Магомедов А.Дж,Фольклорная составляющая словарей
тюрколога Ф.Г,Хисамитдиновой / сост Р.Н Каримова (г Уфа
тюрколога Ф.Г,20
ноября 2015 г.),Уфа
ноября 2015 г.),2015
"Магомедов А.Дж., Гаджалова Г.Р",Сравнения как образно-
филологии Дагестана»,Вып II Махачкала
филологии Дагестана»,2015
"Магомедов А.Дж., Саидов Н.И",Кубачи: Язык и фольклор:
Исследование и материалы/ отв,ред Г Г Тикаев Махачкала:
Магомедов А.Дж,«Город» златокузнецов: Из истории
художественных и общественных традиций с,Кубачи Махачкала
художественных и общественных традиций с,
Магомедов А.Дж,Художественные промыслы Дагестана в ХХ
веке: Позиция власти и реалии практики,Махачкала
веке: Позиция власти и реалии практики,2003.
Магомедов А.Дж,Зороастрийские культы кубачинцев:
"Магомедов А.Дж., Саидов (Аккутта) Н.И",Благопожелания:
"тексты, переводы, комментарии",Махачкала
"тексты, переводы, комментарии",2010 На кубачинском
Магомедов А.Дж,Город мастеров: Из истории художественной
культуры с,Кубачи Махачкала
культуры с,2011.
"Магомедов А.Дж., Саидов-Аккутта Н.И",Кубачинско-русский
словарь,Отв ред Х.А Юсупов - Москва: Наука
словарь,2017.
Магомедов А.Дж (Автор составитель),Традиционные ремесла
и культура села Кубачи,Материалы посемейного списка 1886 г
Магометов А.А,Кубачинский язык: Исследование и тексты/
отв,ред А.С Чикобава Тбилиси
отв,1963
Магометов А.А,Терминология  кубачинских златокузнецов
// Ежегодник иберийско-кавказского языкознания,Т.2 Тбилиси
// Ежегодник иберийско-кавказского языкознания,
Магометов А.А,Статус кубачинской речи – язык или диалект
кавказоведов: тезисы докладов,Махачкала
кавказоведов: тезисы докладов,1998
Маммаев М.М,Кубачи–Зирихгеран: Очерки по истории и
культуре,Махачкала
культуре,2005.
Маммаев М.М,Искусство Зирихгерана-Кубачи ХIII – ХY вв
"Махачкала: Эпоха, 2014",-592 с.: ил
Мунгиева М.А,Русско-кубачинский словарь Махачкала
Мунгиева М.А,2012.
народов СНГ / Институт перевода библии,М.
народов СНГ / Институт перевода библии,2000 / Текст
перевода на кубачинский язык А.А,Магометова.
Омаров М.Г,Ашты История
Омаров М.Г,обычаи
Омаров М.Г,традиции Махачкала:
Саидов Н,И Букварь для начинающих читать и писать на
кубачинском языке,Махачкала
кубачинском языке,1997 2 доп изд Махачкала
кубачинском языке,2009.
Саидов Н.И,(Аккутта  Набиюллагь) Жемчужный клад
хазна / На кубачинском языке,Махачкала
хазна / На кубачинском языке,1998.
Саидов Н.И,(Аккутта Набиюллагь) Даше далайдукIиллан!
кубачинском языке,Махачкала
кубачинском языке,2008
Саидов Н.И,(Аккутта) Русско-кубачино-даргинский словарь
/ Для учащихся начальных классов,Махачкала
/ Для учащихся начальных классов,2009.
Тикаев Г,Г Дербенд-наме История Дербента и Дагестана на
кубачинском языке: научное издание / отв,ред Г.М.-Р Оразаев;
"предисл., перелож",кубачинского арабографического текста
"на кириллицу, пер",на русск язык и коммент Г Г Тикаева -
", 2021",- 141 с.
Шиллинг Е.М,Кубачинцы и их культура: Историко-
этнографические этюды / отв,ред И.И Кушнер М.
этнографические этюды / отв,Л.
этнографические этюды / отв,1949 /
Переиздано А.Д,Канаевым: Махачкала
Переиздано А.Д,20I2
Юзбашев З,Ю Кубачинские зарисовки – Махачкала
Юзбашев З,2018.
РАБАДАНОВ М.Х,ГОВОРИМ НА РОДНОМ ЯЗЫКЕ.............3
АДРЕС,ДОМ.................................................................................31
СУМБАТОВА  Н,Р КУБАЧИНСКИЙ СРЕДИ ДРУГИХ
ИБРАГИМОВА  Ж,К.
ИБРАГИМОВА  Ж,НИНАЛАЛОВ  С А КУБАЧИ:
А.ДЖ,МАГОМЕДОВ СПИСОК ЛИТЕРАТУРЫ ПО
На обложке фото Н.М,Магомедовой
