Russian,Kubachin
Имя. Название.,Зу. Дибала.
Меня зовут Магомед.,Дам МухIуммяд букIвай.
Назови-ка мне,"Гьаа гьаре, дамми дагъисталанталла са-кIве дибала (зу)."
несколько дагестанских имен.,
Какое имя тебе/ Вам больше всего нравится?,Сизиб дибала (зу) итти гьис биккайну?
Мне нравится имя Ильяс.,Дам Ильяс гьис биккай.
Отец.,Атта.
Отчество.,Аттала зу/отчество. 
 Фамилия.,Кьам.
Я хотел (а) бы узнать твое/ Ваше отчество.,Даммий (дам) ила аттала дибала (зу) булхIий биккулда.
Моего отца зовут Мухтар.,Дила аттай Мухтар букIвай.
Как ваша фамилия (Вы из какого рода?),У чилахъалла вихутну?
Вы не сын (дочь) Гаджи?,У ХIяжила гал (йуссе) адий ?
Хочу познакомить тебя (вас) со своими товарищами.,Дам йитте дила уртакъаццил уща чийдулхIяхъий биккулда.
Познакомь (те) меня (нас) с твоими (вашими) друзьями.,Нусса ила уртакъаццил чийдулхIяхъаба.
Вы кем приходитесь ему ?,Итти ча агулну ил/икI/ит?
Я хочу познакомиться с той девушкой.,Дам ид йуссе чийулхIий биччид
Я его (ее) отец.,Ду итила аттада.
...брат.,...уццида.
...сестра.,...йуццида.
...дядя (по отцу).,...аттала уццида.
...дядя (по матери).,...абала уццида.
...дедушка по отцу/матери.,...аттааттада. абахъаллааттада.
...бабушка по отцу/ матери.,"...аттаабада, абахъаллаабада."
...невеста.,...йаччибхьадда.
...жених.,...ваччибтубда.
...друг.,"....уртахъда, юлдашда."
...знакомый.,…. ВакIузивда (вакIузивсав).
...сын.,...галда.
...дочь.,...йуссида.
...мать.,...абада.
...сосед /соседка.,...денеда.
...жена.,...хьунулда.
...муж.,...адамеда.
Я ему никто.,Ду ити чачIу ада.
У нас нет никаких родственных отношений.,Ниссилла тухумдище лидакква.
"Хотелось бы узнать, откуда вы (ты).",У чащандил булхIий биччид.
Я из Кубачи/ Ашты / Сулевкента,Ду ГIуъбуганда/ Иштанда/ Сулеканда.
Где ты (вы) работаешь (работаете)?,У (уща) чинав (чинад) викьулдин (дикьулдан)?
Я пока не работаю.,Ду сухъла акьулда (викьулада).
Я учусь.,Ду учIунда.
Я – учитель/врач/продавец.,"Ду учитилда/ духтурда/, туканчида."
Знаете ли вы его (ее)?,Итти ид вакIуй (йакIуй)?
"Конечно, знаю.","Гье, вакIу (йакIу)."
Они мои хорошие знакомые.,Итте дам гьяхле бакIужубсав.
Вы кем приходитесь ему?,У итила чадину?
,У итий ча агулдину?
Чей ты сын?,У чила галдину?
Чья ты дочь?,У чила йусседину?
Кто твой брат?,Ила уцце часавну?
Кто твоя сестра?,Чану ила йуцце?
В ГОСТЯХ,ХХГIУЛАТЛЕ
Гость.,ХхгIул.
В гостях.,ХхгIулатле.
К нам приехали гости.,Ниссищуб ххгIуле хиб
К нам сегодня должны приехать гости.,Ниссищу иял ххгIуле сякьунжуб саб.
"В доме, где не бывают гости, не найти ни счастья, ни благоденствия.","ХхгIуле акква хъилиб я ццихъдихь, я баракат хибабихвай."
"Заходите, заходите, мы вас давно ждем.","Гьаттухъина, гьаттухъина нусса ищи ихьвлиал гьейкъекаттижибда."
"Снимите пальто,","Чийсахьва пIалтIу, йане чибдахъий гъамсаб"
вот сюда можно повесить.,
Садитесь на эти стулья.,Каттига хитте гутнаже.
...на диван.,...диванниже.
Как доехали?,"Сагъун саттагъаттан, инжит духатай?"
Не устали ли на дороге?,Дацциттай хьунижид?
Почему вы так редко стали к нам приезжать?,Сили камле саттахьулдан ниссищу?
"Давно хотели приехать, но никак не получалось.",Дахъе лидда
,"сякьи биккулихьали, агаагул."
"Слава богу, что хоть на этот раз удалось приехать.","Аллагьлицце шукур, хена иллай сякьи агул."
Сейчас нам принесут хинкал.,БуссахIят нисси ккуц сакъилалсаб.
Ваш хинкал с орехами и чесноком – очень вкусное блюдо. Я очень сытно поел.,Ищила хъихьв-сейже чикатIибзиб кӯц гьакал биццизиб бийхвай. Ду вилкъадаже укид.
Давайте выпьем сейчас чай с вареньем.,На чяйла де̄ чче мураппалццила.
Очень вкусное варенье.,Мураппа гьакал биццизиб саб.
Из чего оно сделано?,Силла мураппану ей?
Это кизиловое варенье.,Ей ччунабилла мураппа саб.
Кизил мы собираем в нашем лесу.,Нуссадил ччунабе ниссила дуццанад чукурдикьида.
"Мы вернемся домой, спокойной ночи вам!",На нусса дашилла.
,Ищий дучче-дярххя гIяхдухаб.
И вам счастливо ехать!,Ущайа саламатдикьа!
ПРОСЬБА,ТИЛАДЕ
Просить.,ТиладеукIи. Тиладебийкьи.
Попросить.,Тиладеба̄ кьи.
Прошу.,Тиладе саб. Тиладебийкьулда.
Не откажи мою просьбу.,Дила тиладе чарбūкьмēкьит.
Прошу тебя/ Вас выслушать меня.,"Дамми ляйгувачIе, тиладе саб."
"Помогите, пожалуйста,",Ей гIядрис хIясибле хъал
найти мне дом по этому адресу.,ба̄ ччи дам кумакбакьакква.
Помоги(те) донести вещи до остановки автобуса.,Абтубус тIашбийцна макьиннай иримажа дукъий кумакба̄ кьакква.
"Помогите, пожалуйста, мне перейти улицу.",Хьхьунилжил
,чийвидухъи кумакба̄ кьакква.
"Проводите нас, пожалуйста.","Нусса тахьвдакьаба, тиладе саб."
Прошу показать мне город.,"Даммий шагьар бахкквахъа, тиладе саб."
"Поедемте с нами, пожалуйста, до вокзала.","Ниссиццил вазгалле ваш, тиладе саб."
Подождите меня здесь.,Даммий тIашдицца янид.
"Не забудь, пожалуйста, проводить меня на поезд.","Ду пуездлищу тахьвидакьи хъумутматит, тиладе саб."
Не забудь о моей просьбе.,Дила тиладе хъумутматит.
Я выполню все ваши просьбы.,Дудил ила гьаибзиб бакьила.
Покажите мне это платье.,ИкI агва бахкквахъа дамми.
"Дайте мне, пожалуйста, билет до Москвы (Кубачи, Махачкалы, Дербента).","Гьакка дам Маскавле (ГIугъубяже, Анжил, Чуле) гIукьи билет."
Просьба написать мне письмо.,"Тиладе бикьулда, дам кIа кабга."
Разрешите войти.,Ихтияр гьакка вингьавхъий.
...выйти.,...винийкавхъий.
...сойти.,...чикавхъий.
...сесть.,...кижий.
...уйти.,...ваший.
...взять.,...гьабалчий.
...забрать.,...квийсабалчий.
...прочитать.,...кабилчIахъий.
...проводить.,...тахьвидакьий.
...встретить.,...хьвавакьий.
...посмотреть.,...вахкквий.
БЛАГОДАРНОСТЬ,БАРКАЛЛА
Благодарность.,Баркалла.
Спасибо.,Баркалла.
Большое спасибо.,Хвалазиб баркалла.
Я благодарен вам…,Иттий баркалла укIуд…
…за угощение.,…вахнилий.
…за подарки.,…савгъатлий.
…за добрую весть.,…гIях хабаррий.
Долгих лет жизни вам!,ГIумрул вилкъин у!
Я поблагодарил его.,Дудил итий баркалла биккад.
До конца дней своих буду тебя благодарить.,МицIел ливалле иттий баркалла укIилла.
Спасибо тебе! Долгой жизни и благоденствия детям твоим!,Баркалла иттий! Кулпат бехъаб ила!
ЛЮБОВЬ,ДИККА
Любовь.,Дикка.
Любовь невесты.,Йаччибхьадла дикка.
Любовь сестры. Любовь жениха,Йуццилла дикка. Ваччибтубла дикка
Он очень любит свою жену.,Итий синна хьхьунул гьакал йиччихъу.
Я очень люблю кубачинскую природу.,Дам гьакал (цIакьле) ГIугъбугла тIабигIят биччихъид.
Я люблю ездить (ходить) по окрестностям селения.,Дамми щилла алав ваший биччихъид.
Кого ты больше любишь?,Иттий ча гьис виччихъитну?
"Любовь не считается ни со старостью, ни с молодостью.","Диккалий ухънадихь, ва жагьилдихь ахху."
Ты мне нравишься ( к жен). Ты мне нравишься ( к муж).,Даммий у гIяхтакайиццулда Даммий у гIяхтакиццулда
Я люблю его /ее.,Даммий ит виккулда/йиккулда
БОЛЬНИЦА,БОЛЬНИЦА
Больница.,Больница.
Больной (ая).,Иццузив (ий).
Болезнь.,Иццала.
Болеть.,Ицций.
Внезапно заболел.,Ххапле иццанухуб.
Срочно вызовите «Скорую помощь»!,Гьалакле «Скорая помощли» вявкабекIа!
Вызовите врача!,"Духтурлицце вявкабекIа, духтур тIалабвакьа"
Его нужно немедленно отвезти в больницу.,Ей ихьвле (гьалакле) больницал учи бажилсаб.
Где приемный покой?,Иццужуб хьвабикьу мусса чинабну (гьаре)?
В каком отделении лежит ваш больной?,Кучил отделенияливну киссун ищила иццузив?
В каком отделении эта палата?,Ил палата кучил отделениялибну?
На каком этаже это отделение?,Ил отделение чумъибил дяхлижибну?
"Мы его положили в палату хирургического (терапевтического,","Нуссадил ил ка̄ кьада хирургиялла (терапиялла, неврологиялла) отделениялла палатал."
неврологического) отделения.,
Ему необходимо курортное лечение.,Йили курортлиже гIукьий бажилсаб
Как фамилия его лечащего врача?,Илла духтурра фамилия сизибну?
Как ваше самочувствие?,Се тяхIярну ила арадихь?
На что жалуетесь?,Се иццулну?
Как вы спите?,Бильссалла се кьядану?
"Не волнуйся, мы обязательно вылечим тебя!",КьакьавикIмекIут. нуссадил у гIяхвакьила!
Сын болен.,Гал иццулсав.
Отец болен.,Атта иццулсав.
Мать больна.,Аба иццулсай.
Брат болен.,Уцце иццулсав.
Сестра больна.,Йуцце иццулсай.
Племянник болен.,Уццилла (йуццилла) гал иццулсав.
Племянница больна.,Уццилла (йуццилла) йуссе иццулсай.
Бабушка больна.,Аттаба/абаба иццулсай.
Дедушка болен.,"Аттата, абатта иццулсав."
Что болит у вашего ребенка (м.р.)/(ж. р.)?,Се иццулну ишшила галла (йуссила)?
На что вы жалуетесь?,Ила се иццулну?
У него часто поднимается температура.,Йилла гIяла-ле температура гьабахьулсаб.
У меня болит рука.,Дила няхъ иццулсаб.
У него болит голова.,Илла бикI иццулсаб.
Живот.,КIултIа.
Ухо (уши).,Ляй (лгIуппе).
Горло.,Кьахха.
Глаз (глаза).,Уле (улбе).
Зуб (зубы).,Сула (сулбе).
Сердце.,ӮкIе.
Поясница.,Ваг.
Спина.,Къахъ.
Нога (ноги).,ТIгIуй (тIгIуме).
У меня кружится голова.,БикI ччурсабигулсаб дила.
Я плохо вижу правым глазом.,Даммий гIяххил улилццил хъямле тесабилгунда.
Его мучает сильный кашель.,Ит хъагьле
,гьакал инжитвийкьул сав.
Раздевайтесь до пояса.,"Ваглижекагъун, палтар чихIяхя."
Поднимите рубашку.,Агвачан ахъчийгьабакьа.
Снимите обувь.,Ттаппе чийкяхя.
Ложитесь на кушетку.,Йей тахталже киссин.
Ложитесь на спину.,Къахълиже киссин.
Здесь болит? А здесь?,Йанила иццули? Гье йанила?
Повернитесь ко мне.,Дищу ччурсиже.
Повернитесь ко мне спиной.,Дищу къахътал киже.
Дышите (не дышите).,СсигьукIе (ссигьукIмакIут).
Дышите глубже.,Ццукьле ссигьукIе.
Одевайтесь.,Палтар чахи.
Покажите язык.,Муццул такабакIа.
Посмотрите налево (направо).,КьякьчивдитIин хъяминнащал (гIяххиннащал).
Посмотрите вверх.,КьякьчегьитIин хъайе.
Посмотрите на таблицу.,КьякьчегьитIин таблицалже.
Как вы видите эту таблицу?,Сагъун булхIундин йей таблица?
Закройте левый глаз.,Хъямил уле чидакьа.
Закройте правый глаз.,ГIяххил уле чидакьа.
Читайте (называйте) эту букву.,Йей хIярп кабилчIин (гьаа).
Я плохо вижу эту букву.,Даммий ил хIярп хъямле тисабилгунда.
А эту букву?,Гье йей хIярп?
Эту букву я вижу ясно.,Ил хIярп дамми гIяхле тисабилгунда.
Я выпишу вам очки.,Дудил иттий улбе каттижила
Вам надо лечь в больницу.,Иттий больниццал киссий бажилсаб.
Тебя можно вылечить без операции.,У операция акквит гIяхвакьий ажилалсаб.
"Вам-то операция необходима, согласны?","Иттийкьел операция бакьи бажилсаб,"
,разилдий (къарщилъадий)?
Лекарство получите по этому рецепту.,Дарманте йей рецепт хIясибле гьатталчин.
НАЦИОНАЛЬНОСТЬ,МИЛЛАТ
Где ты родился?,У чинав гьаттакIубзивдин?
Я родился в Дагестане,Ду Дагъистанлиццив гьаттакIубзивда
Какой ты национальности?,У се миллатладин?
Я – даргинец.,Ду дарккванда.
Мой друг – русский.,Дила уртахъ – гIурус сав.
Моя подруга – даргинка.,Дила уртахъ йуссе дарккван сай.
Откуда вы?,Уща чинал?
Мы из Дербента,Нусса Чулилгьаттала.
Аварцы.,КIарахъанте.
Андийцы.,ГIяндала.
Арчинцы.,Арчилла.
Ахвахцы.,Ахвахла.
Бежтинцы.,БежтIала.
Ботлихцы.,Бутлихла.
Дагестанцы.,Дагъистанна.
Даргинцы.,Даркквала.
Кумыки.,Къумухъла.
Лакцы.,Билукквала.
Лезгины.,Лезгинте.
Ногайцы.,Нугъайте.
Табасараны.,Табасаранте.
Таты.,ЖугьутIэ.
Цахуры.,ЦIахурте.
Чамалинцы.,ЧIамалалла.
Рутулы.,Рутулла.
Агулы.,Агъулла.
,
ИЗВИНЕНИЕ,ЧИЙКЕХВНЕ
Извинение.,Чийкехвне .
Простить.,Чийкехви.
"Извините (простите) меня, я был виноват.","Чийкехви, дуда гIяябла вагь."
"Простите, я вам этого не позволю.","ГIяяб бийкьмекьит, амма дудил у ил ба̄ кьи ватилакквид."
"Простите, немного опоздал.","ГIяяб бийкьмекьит, бара (никIалла) кьанухубда."
Не обижайся (не обижайтесь).,ГIяяб бийкьмекьит.
Запир простил своего друга.,Запирре синна уртахъли гIяяб бийкьул асав.
,
СОГЛАСИЕ,"РАЗИДИХЬ, КЬАБУЛДИХЬ"
Согласие.,Разидихь.
Да. Нет.,Гьу. Уу.
Я согласен.,Ду разилда. Ду разил ада.
Я не согласен.,
Я не стану возражать.,Ду къаршил ада.
Мы не возражаем.,Ниссилла къаршидихь либакква. Нусса къаршил ада.
Вы правы.,У дурусле укIут.
Просят дать твое согласие.,Ила пурман (разидихь) бажилсаб.
Я последую вашему совету.,У укIу тяхIярре бакьила.
Мы с вами,Уйа дуйа са гъайлиже сякьида.
пришли к единому мнению.,
"Спасибо, я приду.","Баркалла, ду сагъилла."
"Очень хорошо, именно так и сделаем.","Гьакал гIяхле, тяп налиттал бакьила."
ОТКАЗ,БАКЬАКЬНЕ
Отказ.,Мурад (къуллукъ) ба̄ кьакьай.
Отказать.,Мурад ба̄ кьакьи.
Отказывается.,Разийакквал.
Нет.,"Юх, асаб, уу."
Нельзя.,"А̄ гага, хейребихейхва."
Не нужно было.,Бажиладе.
Я против.,"Ду къаршилда, ду разил ада."
Это нам не подходит.,Ил ниссий балбикул асаб.
Никак нельзя.,СечIугъунне ага̄ га.
Я не соглашусь.,Ду разийухикквид.
"Спасибо, нельзя.","Баркалла, ага̄ га."
Мы не можем выполнить вашу просьбу.,Ниссадил у укIван ба̄ кьий духилал ада.
Мне некогда.,"Дила вахт ( пурсат) либакква,"
Мне не нравится.,Даммий гIяхтакабиццул ада.
Это невозможно сделать.,Ил сикIабха ба̄ кьий ажилал саб.
Не нужно.,Бажил асаб.
Не удобно (ситуция). Не удобно (работа).,Балбичилал (уччилал) асаб. Къинналсаб.
Нет необходимости.,Чараакквал асаб.
Ни один не отказался.,СачIуну къаршил аде.
Не получится. Не сделаю.,Ажилал асаб. Ба̄ кьилакквид.
ПРИГЛАШЕНИЕ,ТlАЛАБГЬАЪНЕ
Приглашение.,ТIалабгьаъне
Пригласить.,ТIалабгьаи
Пригласите его в дом.,Хъил чиука.
Они нас пригласили на свадьбу.,Иттадил нусса михълиже дукул саб.
Приглашать на свадьбу.,Михълиже бучи.
"Заходите домой, садитесь.","Дахьа хъил, каттига."
Приходите к нам завтра.,Ччавал ниссищу сякьина.
ДРУЖБА,"УРТАХЪДИХЬ, ЮЛДАШДИХЬ"
Друг (подруга).,"Уртахъ, юлдаш."
Мой друг Рабадан.,Рабадан дила уртахъ (юлдаш) сав.
Моя подруга Написат.,Написат дила юлдаш (уртахъ) сай.
Моего друга зовут Али.,Дила уртахъ ГIяле букIузив сав.
А как зовут твою подругу?,Ила уртахъ ча букIузийну?
У них крепкая дружба.,Ихтталла юлдашдихь цIакьжуд сад.
Я бы хотел(а) подружиться с тобой/ с вами.,Дамми ила уртахъ (юлдаш) ажий биккулда.
"Одежда хороша новая, а дружба – старая.","Палтар цIижуд гIях дийхвай, уртахъ (юлдаш) – биналла."
ПРОФЕССИЯ,ГIЯЧЕ
СПЕЦИАЛЬНОСТЬ,САНИГIЯТ
Какая у вас/ у тебя специальность?,Ила се санигIятну?
Где вы работаете?,У чинав викьулдин?
Я ювелир (учитель доктор) в своем селении.,"Ду а̄ сла (мутилла) устада (учитилда, духтурда) щилццив."
Он работает на заводе.,Ит завудлив викьулсав.
Моя мать работает учительницей.,Дила аба учительниццали йикьулсай.
Какое учебное заведение вы окончили?,Удил силла курс таманбакьаттину (билчIиттину)?
Я еще не имею специальности.,Дила налла (сухъла) гIяче либбакква.
Я учусь на втором курсе филологического факультета ДГУ.,Ду ДГУ-лла филологиялла факультетла кIвиибил курслижив учIунда.
СЕМЬЯ,ХЪАЛ
Семейный.,Хъалла (кулпатла) вагь.
Отец.,Атта.
Мать.,Аба.
Брат.,Уцце.
Сестра.,Йуцце.
Дядя (по отцу).,Аттауцце.
Дядя (по матери).,Абауцце.
"Дедушка (по отцу, по матери).","Аттата, абахъаллаатта."
"Бабушка (по отцу, по матери).","Аттааба, абахъаллааба (абаба)."
Племянник (сын брата).,Уццилла гал.
Племянник (сын сестры).,Йуццилла гал.
Племянница (дочь брата).,Уццилла йуссе.
Племянница (дочь сестры).,Йуццилла йуссе.
Тетя (сестра отца).,Аттйуцце.
Тетя (сестра матери).,Абайуцце.
Невестка.,Галла хьунул (цIиквай).
Зять.,Ккияв.
Шурин.,Хьунулла уцце.
Свояк.,Вархккияв (вархсив).
Деверь.,Тубла (адамилла) уцце.
Теща.,Хьунулла аба.
Тесть.,Хьунулла атта.
Свекор.,Тубла атта.
Свекровь.,Тубла аба.
Двоюродный брат.,Уццикьай.
Двоюродная сестра.,Йуццикьай.
Троюродный брат.,Няхълауццикьай.
Троюродная сестра.,Няхълайуццикьай.
Семья состоит из шести человек.,Ниссилла хъилид эк инсан хидда.
Мой отец – врач.,Дила атта духтурсав.
Моя мать – медсестра.,Дила аба медсестрасай.
Старший брат Али учится в медицинском университете.,Хвалел уцце ГIяле медицIиналла университетлив учIунсав
Моего младшего брата зовут Магомед.,Дила викIел уццили МухIумяд букIай.
Меня зовут Хадижат (Патимат).,Дамми Хадижат (Патмат) букIай.
Мою бабушку зовут Айша.,Дила абахъаллабай ГIяша букIай.
Бабушке исполнилось 75 лет.,Дила абахъаллаба ВецIанухьва дус йухубсай.
У моего старшего брата есть невеста.,Дила хвалел уццилла йаччибхьад тий
"Мой дедушка работал учителем, а сейчас он на пенсии.","Дила аттата учителли викье, хена ил пенсиялжив сав."
Дедушку зовут Рабадан.,Аттатай Рабадан букIай.
Мы очень любим своего дедушку и бабушку,"Нисси аттатайа аттабайа (абахъаллаабайа, абахъаллааттайа) гьакал биччихъида."
Бабушка учит нас родному языку.,Абахъаллаабадил нусса ниссила кубли буссадийкьу.
Бабушка много рассказывает нам о кубачинских обычаях.,Аттабадил ххял ГIугъбугла гIядаталла
,хабарте гьалуга нисси.
Бабушка наша живет в ауле.,Ниссила аттаба шилцций хIирйихулсай.
Каждый год с радостью на каникулы езжу к бабушке.,Гьар дус каникултадди ду цихъле аттабащу вахьуд.
Дружно живет наша семья.,Сагьабалгунжуб саб ниссила кулпат.
В нашей семье очень уважают старших.,Ниссила кулпатле хвалелталла гьакал хIурмат бийкьу.
НА БАЗАРЕ,БАЗАРРИЖИБ
Базар.,Базар.
Торговля.,Вачай.
Купить.,Ассий.
Продать.,Бисий.
В вашем городе есть рынок?,Ищила шагьаррицциб либий базар?
"Давайте, завтра пойдем на базар.","Дахьа, ччавал базарриже дгIукье."
Я люблю ходить по базару и смотреть.,Дам (дамми) биччихъид базар бихккул чурсижий.
Наш рынок большой.,Ниссила базар хвалазиб саб.
Там всегда можно найти разные фрукты.,Иттуд гьаман жура-журалла цIидихь да̄ ччи титтихва.
Где можно купить цветы?,Уге чинад ассий агану?
Как можно проехать (пройти) на рынок?,Базарриже сагъунне гIукьедихьну?
Что нового продают у вас на рынке сегодня?,ЦIизиб се либну
,иял базаррижиб бисул?
На базаре сегодня есть кайтагские яблоки и груши.,Иял базаррижид
,хайдакьла гьунзбе- хъгIубе тид.
Эти груши сладкие?,Йитте хъгIубе мидижудйи ?
Этот виноград – лучший сорт! Покупайте виноград!,Йитте тIитIе – гьис гIяхил журалла сад! Асса тIитIе!
Сколько килограммов моркови на весах?,Чум килуну
,житIалла умсанлижид?
Почему так дорого?,Силий гьакал (дурхъалну) эблену?
Нельзя ли немного дешевле?,Са бара дӯгьа гъамакквай ?
